Date : 2024-01-22 10:51:31
Directory : /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src
Total : 215 files,  25293 codes, 4684 comments, 5317 blanks, all 35294 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/AggiungiNeedFunzionante.jsx       | JavaScript JSX |        170 |         26 |         73 |        269 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/DettaglioAziendeFunzionante.jsx   | JavaScript JSX |        433 |         17 |         79 |        529 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/FieldBoxFunzionanteFile.jsx       | JavaScript JSX |        387 |         69 |         82 |        538 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/FormComponent.jsx                 | JavaScript JSX |         57 |          4 |          9 |         70 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/IntervisteFunzionante.jsx         | JavaScript JSX |        163 |          6 |         29 |        198 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/InvioAllegati.jsx                 | JavaScript JSX |        119 |          7 |         35 |        161 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/ListaNeed.jsx                     | JavaScript JSX |        145 |          1 |         18 |        164 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/ModificaStaffingFunzionante.jsx   | JavaScript JSX |        315 |         21 |         98 |        434 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/MyBoxGroupsFunzionante.jsx        | JavaScript JSX |        271 |          1 |         20 |        292 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/MyDataGridSearchBox.jsx           | JavaScript JSX |        149 |          1 |         16 |        166 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/NeedMatchSearchBoxFunzionante.jsx | JavaScript JSX |        220 |          7 |         20 |        247 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/NeedSearchBox2.jsx                | JavaScript JSX |        263 |          9 |         31 |        303 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/NeedSearchBoxFunzionante.jsx      | JavaScript JSX |        248 |          5 |         19 |        272 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/SidebarFunzionante.jsx            | JavaScript JSX |        519 |          7 |         42 |        568 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/indexFunzionante.js               | JavaScript     |         12 |          4 |          6 |         22 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiBackup/recruitingFunzionante.jsx         | JavaScript JSX |        236 |          3 |         30 |        269 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiReduxProva/AggiungiIncontroRedux.jsx     | JavaScript JSX |        183 |         52 |         73 |        308 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiReduxProva/AggiungiNeedRedux.jsx         | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiReduxProva/IntervisteRedux.jsx           | JavaScript JSX |        167 |          5 |         22 |        194 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiReduxProva/RecruitingRedux.jsx           | JavaScript JSX |        242 |          6 |         41 |        289 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/AssociazioniSearchBox.jsx                | JavaScript JSX |        152 |          4 |         19 |        175 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/AttivitaTable.jsx                        | JavaScript JSX |         28 |          0 |          3 |         31 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/AziendeSearchBox.jsx                     | JavaScript JSX |        209 |          7 |         34 |        250 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/AziendeSearchBox2.jsx                    | JavaScript JSX |          0 |        239 |         26 |        265 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/FatturazioneAttivaSearchBox.jsx          | JavaScript JSX |        148 |          5 |         17 |        170 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/FatturazioneAttivaSearchBox2.jsx         | JavaScript JSX |          0 |        155 |         15 |        170 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/FatturazionePassivaSearchBox.jsx         | JavaScript JSX |        149 |          5 |         17 |        171 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/FatturazionePassivaSearchBox2.jsx        | JavaScript JSX |          0 |        156 |         15 |        171 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/FornitoriSearchBox.jsx                   | JavaScript JSX |        105 |          4 |         13 |        122 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/FornitoriSearchBox2.jsx                  | JavaScript JSX |          0 |        119 |          9 |        128 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/HRSearchBox.jsx                          | JavaScript JSX |        105 |          4 |         10 |        119 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/HRSearchBox2.jsx                         | JavaScript JSX |          0 |        119 |          9 |        128 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/IntervisteSearchBox.jsx                  | JavaScript JSX |        182 |         23 |         40 |        245 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/IntervisteSearchBox2.jsx                 | JavaScript JSX |          0 |        218 |         34 |        252 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/KeyPeopleSearchBox.jsx                   | JavaScript JSX |        202 |          7 |         29 |        238 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/KeyPeopleSearchBox2.jsx                  | JavaScript JSX |          0 |        220 |         25 |        245 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/ListaNeedSearchBox.jsx                   | JavaScript JSX |        237 |         11 |         39 |        287 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/ListaNeedSearchBox2.jsx                  | JavaScript JSX |          0 |        254 |         33 |        287 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/NeedMatchSearchBox.jsx                   | JavaScript JSX |        211 |          6 |         25 |        242 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/NeedMatchSearchBox2.jsx                  | JavaScript JSX |          0 |        244 |         21 |        265 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/NeedSearchBox.jsx                        | JavaScript JSX |        269 |         11 |         28 |        308 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/NeedSearchBox2.jsx                       | JavaScript JSX |        281 |          9 |         23 |        313 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/ProgettiSearchBox.jsx                    | JavaScript JSX |        153 |          5 |         26 |        184 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/ProgettiSearchBox2.jsx                   | JavaScript JSX |          0 |        160 |         23 |        183 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/RecruitingSearchBox.jsx                  | JavaScript JSX |        226 |          6 |         28 |        260 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/RecruitingSearchBox2.jsx                 | JavaScript JSX |          0 |        256 |         27 |        283 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/ReportSearchBox.jsx                      | JavaScript JSX |        164 |         37 |         26 |        227 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/TesoreriaSearchBox.jsx                   | JavaScript JSX |        112 |          3 |          7 |        122 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/images/innotek.svg                                            | XML            |          3 |          0 |          1 |          4 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/index.css                                                     | CSS            |         12 |          0 |          2 |         14 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/index.js                                                      | JavaScript     |         16 |          1 |          3 |         20 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiAzienda.jsx                      | JavaScript JSX |        143 |         43 |         41 |        227 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiCandidato.jsx                    | JavaScript JSX |        214 |        131 |         87 |        432 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiContatto.jsx                     | JavaScript JSX |        112 |          8 |         29 |        149 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiDipendente.jsx                   | JavaScript JSX |        172 |        144 |         76 |        392 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiFatturazioneAttiva.jsx           | JavaScript JSX |        102 |          4 |         25 |        131 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiFatturazionePassiva.jsx          | JavaScript JSX |        107 |          4 |         30 |        141 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiFornitore.jsx                    | JavaScript JSX |         67 |          4 |         20 |         91 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiIncontro.jsx                     | JavaScript JSX |        212 |         62 |         80 |        354 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiIntervista.jsx                   | JavaScript JSX |        206 |         15 |         58 |        279 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiNeed.jsx                         | JavaScript JSX |        159 |         64 |         72 |        295 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiNeedID.jsx                       | JavaScript JSX |        167 |         64 |         73 |        304 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiProgetto.jsx                     | JavaScript JSX |        100 |          5 |         35 |        140 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AggiungiPagine/AggiungiUser.jsx                         | JavaScript JSX |         37 |          0 |          8 |         45 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/Aziende.jsx                                             | JavaScript JSX |        205 |         41 |         54 |        300 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/AziendeProva.jsx                                        | JavaScript JSX |        160 |         26 |         42 |        228 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/DettaglioPagine/Associazioni.jsx                        | JavaScript JSX |        176 |         11 |         35 |        222 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/DettaglioPagine/DettaglioAziende.jsx                    | JavaScript JSX |        408 |         20 |        102 |        530 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/DettaglioPagine/DettaglioDipendente.jsx                 | JavaScript JSX |        103 |         53 |         34 |        190 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/DettaglioPagine/DettaglioIntervista.jsx                 | JavaScript JSX |        128 |         85 |         57 |        270 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/DettaglioPagine/DettaglioKeyPeople.jsx                  | JavaScript JSX |        125 |          2 |         29 |        156 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/DettaglioPagine/DettaglioNeed.jsx                       | JavaScript JSX |         67 |         60 |         45 |        172 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/DettaglioPagine/EstraiReport.jsx                        | JavaScript JSX |         46 |          1 |         21 |         68 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/DettaglioPagine/Interviste.jsx                          | JavaScript JSX |        233 |          9 |         46 |        288 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/DettaglioPagine/ListaNeed.jsx                           | JavaScript JSX |        233 |          3 |         40 |        276 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/DettaglioPagine/NeedMatchPages.jsx                      | JavaScript JSX |        371 |         10 |        111 |        492 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/FatturazioneAttiva.jsx                                  | JavaScript JSX |        115 |          3 |         18 |        136 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/FatturazionePassiva.jsx                                 | JavaScript JSX |        117 |          3 |         17 |        137 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/Fornitori.jsx                                           | JavaScript JSX |        160 |          3 |         26 |        189 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/HR.jsx                                                  | JavaScript JSX |        337 |         18 |         46 |        401 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/Home.jsx                                                | JavaScript JSX |         86 |          1 |         16 |        103 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/Homepage.jsx                                            | JavaScript JSX |         19 |          0 |          4 |         23 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/KeyPeople.jsx                                           | JavaScript JSX |        208 |         85 |         42 |        335 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/Login.jsx                                               | JavaScript JSX |         29 |          0 |          5 |         34 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/LoginForm.jsx                                           | JavaScript JSX |         63 |          3 |         11 |         77 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/ModificaPagine/ModificaAzienda.jsx                      | JavaScript JSX |        158 |          9 |         35 |        202 |
| /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/pages/ModificaPagine/ModificaContatto.jsx                     | JavaScript JSX |        122 |          5 |         36 |        163 |
